configuration,query_id,query_text,target_category,relevant_document_count,retrieved_document_count,precision_at_5,precision_at_10,recall_at_10,f1_at_10,average_precision,reciprocal_rank,ndcg_at_10,latency_ms
bm25_expansion,Q04,company earnings profit,earn,3964,100,1.0,1.0,0.0025227043390514633,0.005032712632108707,0.02437379213180144,1.0,1.0,6.389250000211177
bm25_expansion,Q05,foreign exchange dollar market,money-fx,717,100,1.0,1.0,0.01394700139470014,0.02751031636863824,0.1139090496578359,1.0,1.0,4.422665999300079
bm25_expansion,Q06,interest rates banking,interest,478,100,1.0,0.9,0.01882845188284519,0.036885245901639344,0.13966379445214772,1.0,0.9266360779006398,3.733749999810243
bm25_expansion,Q07,coffee production exports,coffee,139,100,1.0,1.0,0.07194244604316546,0.1342281879194631,0.3844372219008692,1.0,1.0,1.9625830027507618
bm25_expansion,Q08,gold prices market,gold,124,100,0.8,0.9,0.07258064516129033,0.13432835820895522,0.4063855007071972,0.5,0.7799082337019198,3.666791999421548
bm25_expansion,Q09,wheat production exports,wheat,283,100,1.0,0.8,0.028268551236749116,0.054607508532423216,0.15171292792232408,1.0,0.8701249883466592,2.007166996918386
bm25_expansion,Q10,corn crop production,corn,237,100,1.0,0.8,0.03375527426160337,0.06477732793522267,0.10579137376294558,1.0,0.8643145546088337,1.6999580002448056
bm25_expansion,Q11,sugar production prices,sugar,162,100,1.0,1.0,0.06172839506172839,0.11627906976744184,0.279648414530606,1.0,1.0,2.6400829992780928
bm25_expansion,Q12,natural gas production,nat-gas,105,100,0.6,0.8,0.0761904761904762,0.13913043478260873,0.3931108745007345,1.0,0.7951657524814091,1.8548330008343328
bm25_expansion,Q13,shipping freight vessels,ship,286,100,1.0,1.0,0.03496503496503497,0.06756756756756757,0.3063538499348955,1.0,1.0,0.8299159999296535
bm25_expansion,Q14,copper prices production,copper,65,100,1.0,0.9,0.13846153846153847,0.24,0.5125158210945049,1.0,0.9216017310213246,2.7992920004180633
bm25_expansion,Q15,cocoa production exports,cocoa,73,100,1.0,0.5,0.0684931506849315,0.12048192771084336,0.20304852011869845,1.0,0.6489315753318465,1.7037919969880022
bm25_expansion,Q16,cotton production exports,cotton,59,100,1.0,1.0,0.1694915254237288,0.2898550724637681,0.35631652216984105,1.0,1.0,1.6806250023364555
bm25_expansion,Q17,cofee producion,coffee,139,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08920800246414728
bm25_expansion,Q18,crude oil producion,crude,578,100,1.0,1.0,0.01730103806228374,0.034013605442176874,0.15663866006832108,1.0,1.0,1.3098329982312862
bm25_expansion,Q19,international trad deficit,trade,485,100,0.4,0.3,0.006185567010309278,0.012121212121212121,0.05006475502101774,1.0,0.42838543210841196,1.3023339997744188
bm25_expansion,Q20,corporate aquisition takeover,acq,2369,100,1.0,0.9,0.003799071338117349,0.007566204287515763,0.03150960778427616,1.0,0.933745776545611,0.4205840014037676
bm25_expansion,MEAN,,,,,0.8800000000000001,0.8150000000000001,0.04251461891530194,0.07735036354692885,0.19548692809317256,0.925,0.8399428401595636,3.799083299963968
bm25_spelling_expansion,Q01,crude oil prices,crude,578,100,1.0,1.0,0.01730103806228374,0.034013605442176874,0.1516654612880877,1.0,1.0,2.710917000513291
bm25_spelling_expansion,Q02,international trade deficit,trade,485,100,0.8,0.5,0.010309278350515464,0.020202020202020204,0.11046494813542936,1.0,0.6300426811446146,2.279749998706393
bm25_spelling_expansion,Q03,corporate acquisition takeover,acq,2369,100,1.0,1.0,0.004221190375685944,0.008406893652795294,0.03212746668191765,1.0,1.0,0.8987500004877802
